Pure static;;;Static compared;;;Dynamic compared;;;Converted to dynamic;;
SceneTreeWindowEWC;1;;assets/baked/mesh3d/Nature/DeadTree3.nxmesh3d;2;;mouseMove;1;;Type 'StaticMeshBundle' has been registered.;3;
ModalPopUp;1;;assets/baked/mesh3d/Nature/DeadTree10.nxmesh3d;3;;defaultTextured;2;;Type 'EditorSettingsEWC::BaseListItem' has been registered.;3;
Settings;1;;Apostrophe;6;;;;;Type 'ComboView' has been registered.;3;
TextEditorEWC;1;;assets/baked/mesh3d/Nature/DeadTree8.nxmesh3d;1;;;;;Type 'class Core::Gui::NumInput<int>' has been registered.;3;
N;3;;assets/baked/mesh3d/Nature/BirchTree5.nxmesh3d;1;;;;;Type 'BaseCombo' has been registered.;3;
ToggleButton;1;;assets/baked/mesh3d/Nature/BirchTree4.nxmesh3d;1;;;;;18:18:32 [T] [ECS] Type 'StaticMesh' has been registered.;4;
Button;12;;assets/baked/mesh3d/Nature/RegularGrass.nxmesh3d;1;;;;;FPS: 1339;2;
ImageViewerEWC;1;;assets/baked/mesh3d/Nature/MapleTree3.nxmesh3d;2;;;;;Texture | Loaded: assets/baked/nxfile.nxtex;3;
Gizmo;1;;assets/baked/mesh3d/Nature/MapleTree1.nxmesh3d;1;;;;;Type 'EditorSettingsEWC::KeymapItem' has been registered.;3;
NxMesh3DEditorEWC;1;;assets/baked/mesh3d/Nature/MapleTree2.nxmesh3d;1;;;;;Type 'EditorSettingsEWC::ColorItem' has been registered.;3;
assets/baked/mesh3d/Nature/PineTree1.nxmesh3d;1;;outline;3;;;;;../../Textures/FireHydrant_A.tga;3;
Spacer;6;;0;6;;;;;1039;1;
class Core::Gui::BaseArray<enum aiPostProcessSteps,class Core::<lambda_14_>,class Core::<lambda_15_> >;1;;assets/baked/mesh3d/Nature/MapleTree4.nxmesh3d;1;;;;;1422;6;
assets/baked/mesh3d/Nature/DeadTree4.nxmesh3d;1;;aNormal;1;;;;;18:18:32 [I] [Graphics] {};12;
WorldLightningEWC;1;;assets/baked/mesh3d/Nature/MapleTree5.nxmesh3d;1;;;;;FPS: 1034;2;
3;6;;T;1;;;;;1073;1;
ImageButton;1;;skybox;200889;;;;;FPS: 1223;2;
BaseInput;1;;assets/baked/mesh3d/Nature/PineTree3.nxmesh3d;1;;;;;class Core::Gui::BaseArray<class Core::BaseString<char>,class Core::Gui::<lambda_10_>,class Core::Gui::<lambda_11_> >: Children;2;
X:;7;;assets/baked/document.nxtex;2;;;;;FPS: 1199;1;
Color3Input;1;;uModel;1986694;;;;;1341;9;
RootWindow;4;;assets/baked/mesh3d/Nature/DeadTree1.nxmesh3d;1;;;;;FPS: 1418;7;
Label;1;;assets/baked/mesh3d/Nature/DeadTree6.nxmesh3d;1;;;;;Type 'ArrayCell' has been registered.;3;
ComboView;1;;assets/baked/folder.nxtex;5;;;;;FPS: 978;1;
Separator;1;;uMinimalDistanceBetweenPixels;602660;;;;;FPS: 1021;1;
Semicolon;6;;uProjAndView;5178681;;;;;FPS: 1292;4;
BaseCombo;1;;grid;200897;;;;;Type 'GameViewportEWC' has been registered.;3;
PreTransformVertices;3658;;F;4;;;;;1330;7;
ComboModelBased;1;;objectIdentifier;10;;;;;Graphic modifier;1;
CheckBox;1;;None;6;;;;;FPS: 925;2;
ArrayCell;12;;Period;6;;;;;900;2;
StaticMeshBundle;1;;Slash;6;;;;;FPS: 1445;1;
StaticMesh;1;;3;6;;;;;1295;1;
assets/baked/mesh3d/Nature/PalmTree3.nxmesh3d;1;;4;6;;;;;Type 'ObjectPropertiesWindowEWC' has been registered.;3;
uProjAndView;241527;;5;6;;;;;18:18:32 [T] [ECS] Type 'InvalidComponent' has been registered.;4;
uModel;40647;;6;6;;;;;Was found shader: defaultTextured;1;
assets/baked/document.nxtex;2;;7;6;;;;;Window | The window was created;3;
Light;3;;8;6;;;;;AssetsManager;13;
Spectator;2;;9;6;;;;;1250;1;
assets/baked/code_document.nxtex;2;;Semicolon;6;;;;;Type 'class Core::Gui::BaseArray<class Core::BaseString<char>,class Core::Gui::<lambda_10_>,class Core::Gui::<lambda_11_> >' has been registered.;3;
assets/baked/folder.nxtex;2;;A;6;;;;;Type 'CheckBox' has been registered.;3;
FindDegenerates;3770;;B;5;;;;;18:18:32 [T] [ECS] Type 'WorldLightningEWC' has been registered.;5;
assets/baked/image_document.nxtex;2;;C;5;;;;;Type 'class Core::Gui::BaseArray<struct Core::GraphicsComponentData::ModifierParam,class Core::<lambda_16_>,class Core::<lambda_17_> >' has been registered.;3;
assets/baked/mesh3d/Nature/BirchTree1.nxmesh3d;1;;D;5;;;;;18:18:32 [T] [{}] {};58;
defaultTextured;59;;E;4;;;;;FPS: 860;1;
assets/baked/mesh3d/Nature/MapleTree2.nxmesh3d;1;;G;3;;;;;1134;1;
outline;59;;H;3;;;;;948;1;
CalcTangentSpace;3770;;I;3;;;;;Save;9;
Debone;3770;;J;3;;;;;Graphics;22;
PopulateArmatureData;3658;;K;3;;;;;Type 'class Core::Gui::VecNumInput<3,float>' has been registered.;3;
DropNormals;3770;;L;3;;;;;FPS: 1262;3;
EmbedTextures;3770;;N;3;;;;;1032;2;
assets/baked/mesh3d/Nature/Flower7.nxmesh3d;1;;O;3;;;;;1429;5;
FindInstances;3770;;Q;3;;;;;Type 'class Core::Gui::VecNumInput<2,float>' has been registered.;3;
GenSmoothNormals;3770;;R;3;;;;;1300;2;
FindInvalidData;3770;;U;1;;;;;Children count;1;
assets/baked/mesh3d/Nature/MapleTree1.nxmesh3d;1;;W;1;;;;;1182;2;
FlipUVs;3770;;assets/baked/code_document.nxtex;2;;;;;18:18:32 [I] [AssetsManager] Registered new asset path: assets;4;
FlipWindingOrder;3770;;assets/baked/image_document.nxtex;2;;;;;Type 'class Core::Gui::NumInput<float>' has been registered.;3;
ForceGenNormals;3770;;assets/baked/skybox/default.nxsky;2;;;;;1308;3;
GenBoundingBoxes;3770;;uSkybox;3;;;;;Type 'Color3Input' has been registered.;3;
GenNormals;3770;;uCameraPos;602658;;;;;class Core::Gui::BaseArray<struct Core::GraphicsComponentData::ModifierParam,class Core::<lambda_16_>,class Core::<lambda_17_> >: Graphic modifier;2;
GenUVCoords;3770;;uView;602658;;;;;FPS: 1332;5;
GlobalScale;3770;;uProj;602658;;;;;Input: VBO ID;2;
ImproveCacheLocality;3715;;assets/baked/mesh3d/Nature/Tree5.nxmesh3d;1;;;;;Type 'RootDockWindowEWC' has been registered.;3;
JoinIdenticalVertices;3716;;assets/baked/mesh3d/Nature/Tree1.nxmesh3d;1;;;;;FPS: 1270;3;
LimitBoneWeights;3658;;Light;1864764;;;;;1419;7;
MakeLeftHanded;3658;;uTexture;1864764;;;;;1316;3;
Root dock space;1;;uPickingColor;48;;;;;Type 'TextInput' has been registered.;3;
OptimizeGraph;3658;;Gizmo;10;;;;;762;1;
OptimizeMeshes;3658;;uOutlineSize;121878;;;;;Path to .vert;1;
assets/baked/mesh3d/Nature/Flower1.nxmesh3d;1;;uCameraObjectNDCDistance;121878;;;;;H-Layout(W): {};11;
RemoveComponent;3603;;gizmo_move;8334;;;;;FPS: 1094;1;
RemoveRedundantMaterials;3603;;;;;;;;Type 'SceneTreeWindowEWC' has been registered.;3;
SortByPType;3604;;;;;;;;Type 'Actor' has been registered.;3;
SplitByBoneCount;3546;;;;;;;;977;1;
aNormal;2;;;;;;;;FPS: 938;3;
assets/baked/mesh3d/Nature/MapleTree4.nxmesh3d;1;;;;;;;;1288;5;
SplitLargeMeshes;3546;;;;;;;;1381;8;
C;5;;;;;;;;FPS: 1458;1;
TransformUVCoords;3546;;;;;;;;Type 'ShaderManagerEWC' has been registered.;3;
S;4;;;;;;;;1484;1;
assets/baked/mesh3d/Nature/BirchTree2.nxmesh3d;1;;;;;;;;FPS: 1386;16;
assets/baked/mesh3d/Nature/BirchTree3.nxmesh3d;1;;;;;;;;Type 'TextEditorEWC' has been registered.;3;
assets/baked/mesh3d/Nature/BirchTree4.nxmesh3d;1;;;;;;;;1261;1;
assets/baked/mesh3d/Nature/BirchTree5.nxmesh3d;1;;;;;;;;1328;5;
assets/baked/mesh3d/Nature/Bush1.nxmesh3d;1;;;;;;;;Type 'class Core::Gui::BaseArray<enum aiPostProcessSteps,class Core::<lambda_14_>,class Core::<lambda_15_> >' has been registered.;3;
assets/baked/mesh3d/Nature/Bush2.nxmesh3d;1;;;;;;;;Type 'ImageViewerEWC' has been registered.;3;
assets/baked/mesh3d/Nature/Bush3.nxmesh3d;1;;;;;;;;Type 'ImageButton' has been registered.;3;
assets/baked/mesh3d/Nature/DeadTree1.nxmesh3d;1;;;;;;;;1208;2;
assets/baked/mesh3d/Nature/DeadTree10.nxmesh3d;1;;;;;;;;FPS: 884;1;
assets/baked/mesh3d/Nature/DeadTree2.nxmesh3d;1;;;;;;;;Type 'ModalPopUp' has been registered.;3;
assets/baked/mesh3d/Nature/DeadTree3.nxmesh3d;1;;;;;;;;18:18:32 [T] [ECS] Type 'class Core::Gui::BaseArray<enum aiPostProcessSteps,class Core::<lambda_14_>,class Core::<lambda_15_> >' has been registered.;5;
assets/baked/mesh3d/Nature/DeadTree5.nxmesh3d;1;;;;;;;;Mapping was created: 'selectObject';3;
assets/baked/mesh3d/Nature/DeadTree6.nxmesh3d;1;;;;;;;;Type 'Gizmo' has been registered.;3;
P;3;;;;;;;;FPS: 863;2;
assets/baked/mesh3d/Nature/DeadTree7.nxmesh3d;1;;;;;;;;Type 'NxMesh3DEditorEWC' has been registered.;3;
assets/baked/mesh3d/Nature/DeadTree8.nxmesh3d;1;;;;;;;;FPS: 993;1;
assets/baked/mesh3d/Nature/DeadTree9.nxmesh3d;1;;;;;;;;1223;2;
assets/baked/mesh3d/Nature/Flower2.nxmesh3d;1;;;;;;;;FPS: 1244;1;
assets/baked/mesh3d/Nature/Flower3.nxmesh3d;1;;;;;;;;Type 'ComboModelBased' has been registered.;3;
assets/baked/mesh3d/Nature/Flower4.nxmesh3d;1;;;;;;;;Mapping was created: 'Toggle render mode';3;
W:;7;;;;;;;;Type 'WorldLightningEWC' has been registered.;3;
Apostrophe;6;;;;;;;;76;1;
assets/baked/mesh3d/Nature/Flower5.nxmesh3d;1;;;;;;;;Input: FOV;2;
assets/baked/mesh3d/Nature/Flower6.nxmesh3d;1;;;;;;;;Input: EBO ID;2;
assets/baked/mesh3d/Nature/FlowerBush1.nxmesh3d;1;;;;;;;;FPS: 910;2;
assets/baked/mesh3d/Nature/FlowerBush2.nxmesh3d;1;;;;;;;;Type 'ToggleButton' has been registered.;3;
assets/baked/mesh3d/Nature/FlowerBush3.nxmesh3d;1;;;;;;;;Type 'BaseInput' has been registered.;3;
assets/baked/mesh3d/Nature/MapleTree3.nxmesh3d;1;;;;;;;;Type 'Spacer' has been registered.;3;
assets/baked/mesh3d/Nature/MapleTree5.nxmesh3d;1;;;;;;;;Cancel action;1;
Object Properties;1;;;;;;;;Type 'Label' has been registered.;3;
assets/baked/mesh3d/Nature/PalmTree1.nxmesh3d;1;;;;;;;;grid;3;
assets/baked/mesh3d/Nature/PalmTree2.nxmesh3d;1;;;;;;;;___ Image viewer;2;
assets/baked/mesh3d/Nature/PalmTree4.nxmesh3d;1;;;;;;;;FPS: 1370;13;
assets/baked/mesh3d/Nature/PineTree2.nxmesh3d;1;;;;;;;;1259;3;
assets/baked/mesh3d/Nature/SmallGrass.nxmesh3d;1;;;;;;;;FPS: 1489;1;
assets/baked/mesh3d/Nature/PineTree3.nxmesh3d;1;;;;;;;;Type 'Separator' has been registered.;3;
assets/baked/mesh3d/Nature/PineTree4.nxmesh3d;1;;;;;;;;Type 'StaticMesh' has been registered.;3;
assets/baked/mesh3d/Nature/PineTree5.nxmesh3d;1;;;;;;;;1383;15;
assets/baked/mesh3d/Nature/Rock3.nxmesh3d;1;;;;;;;;Creating of the shader program 'defaultTextured' is started.;1;
assets/baked/mesh3d/Nature/RegularGrass.nxmesh3d;1;;;;;;;;Move forward;1;
uSkybox;2;;;;;;;;Type 'BaseCamera' has been registered.;3;
assets/baked/mesh3d/Nature/Rock1.nxmesh3d;1;;;;;;;;Mapping was created: 'Move right';3;
PopUp;1;;;;;;;;Registered new asset path: assets;2;
J;3;;;;;;;;Nexium;1;
assets/baked/mesh3d/Nature/Rock2.nxmesh3d;1;;;;;;;;FPS: 1233;1;
assets/baked/mesh3d/Nature/Rock4.nxmesh3d;1;;;;;;;;Window | {};3;
assets/baked/mesh3d/Nature/Rock5.nxmesh3d;1;;;;;;;;Window | GLFW version: 4.60 NVIDIA;3;
assets/baked/mesh3d/Nature/Tree1.nxmesh3d;1;;;;;;;;46.0;1;
1;6;;;;;;;;1267;2;
assets/baked/mesh3d/Nature/Tree2.nxmesh3d;1;;;;;;;;Was found shader: grid;1;
assets/baked/mesh3d/Nature/Tree3.nxmesh3d;1;;;;;;;;ShaderManager | {};7;
assets/baked/mesh3d/Nature/Tree4.nxmesh3d;1;;;;;;;;1386;16;
C:\Users\Valerii\workspace\Nexium\assets\baked\mesh3d\fireHydrant.nxmesh3d;1;;;;;;;;___ Text editor;2;
assets/baked/mesh3d/Nature/Tree5.nxmesh3d;1;;;;;;;;ShaderManager | Was found shader: defaultTextured;3;
assets/baked/skybox/default.nxsky;2;;;;;;;;FPS: 1342;8;
aPos;5;;;;;;;;ShaderProgram | {};12;
aUV;2;;;;;;;;ShaderProgram | Creating of the shader program 'defaultTextured' is started.;3;
FragColor;5;;;;;;;;1274;3;
grid;200887;;;;;;;;Input: Near plane;2;
uCameraPos;200887;;;;;;;;18:18:32 [T] [ECS] Type 'Gizmo' has been registered.;4;
uGridCellSize;200887;;;;;;;;862;1;
uGridColorThick;1;;;;;;;;The shader program 'defaultTextured' linked successfully.;1;
uGridColorThin;1;;;;;;;;1505;1;
uMinimalDistanceBetweenPixels;1;;;;;;;;ShaderProgram | The shader program 'defaultTextured' linked successfully.;3;
F;6;;;;;;;;FPS: 1135;1;
objectIdentifier;11;;;;;;;;ambientStrength;2;
uPickingColor;17;;;;;;;;1233;1;
uCameraObjectNDCDistance;40627;;;;;;;;color;12;
uOutlineSize;40627;;;;;;;;lightDir;6;
pickUpColorFiller;4;;;;;;;;minLightStrength;8;
T;1;;;;;;;;FireHydrant_LOD1;1;
skybox;200890;;;;;;;;H-Layout(RO): Sub-render meshes;1;
uProj;200887;;;;;;;;specularPow;8;
uView;200887;;;;;;;;specularStrength;6;
oFragColor;1;;;;;;;;18:18:32 [D] [InputDevices] Mapping was created: 'Move backward';3;
None;6;;;;;;;;1389;6;
Space;6;;;;;;;;1280;3;
M;3;;;;;;;;viewPos;6;
Comma;6;;;;;;;;FPS: 1450;3;
Equal;6;;;;;;;;2;3;
Minus;6;;;;;;;;FPS: 1248;2;
Period;6;;;;;;;;ShaderManager | Was found shader: grid;3;
Slash;6;;;;;;;;Creating of the shader program 'grid' is started.;1;
0;6;;;;;;;;FPS: 894;2;
2;6;;;;;;;;18:18:32 [D] [InputDevices] Mapping was created: 'mouseRotation';3;
