Pure static;;;Static compared;;;Dynamic compared;;;Converted to dynamic;;
data/assets/baked/mesh3d/Nature/RegularGrass.nxmesh3d;1;;data/assets/baked/fireHydrant.nx;1;;;;;17:43:37 [D] [Graphics] ShaderProgram | Creating of the shader program 'grid' is started.;3;
BaseInput;1;;ArrayCell;3;;;;;17:43:37 [I] [Graphics] ShaderProgram | The shader program 'defaultTextured' linked successfully.;3;
Menu Bar;1;;defaultTextured;1;;;;;Texture | Unloading of: /home/valerii/workspace/Nexium/data/assets/baked/document.nxtex;3;
pickUpColorFiller;2;;GameViewportEWC;3;;;;;17:43:37 [T] [AssetsManager] {};8;
ToggleButton;1;;CheckBox;3;;;;;17:43:37 [D] [Graphics] Window | OpenGL version: 4.6 (Core Profile) Mesa 26.0.5-arch1.1;3;
ArrayCell;1;;N4Core3Gui8NumInputIiEE;4;;;;;17:43:37 [D] [Graphics] {};10;
ComboModelBased;1;;NxECSBasedEditorEWC;3;;;;;17:43:37 [D] [{}] {};23;
Gizmo;1;;uProj;921;;;;;17:43:37 [T] [Ecs] Type 'InvalidComponent' has been registered.;3;
Light;3;;RootDockWindowEWC;6;;;;;17:43:37 [T] [Ecs] Type 'N4Core3Gui8LabelRowINS0_8NumInputIfEEEE' has been registered.;3;
data/assets/baked/mesh3d/Nature/MapleTree2.nxmesh3d;1;;Spacer;3;;;;;17:43:37 [T] [Ecs] Type 'ECSEditorStaticMeshBundleAdapter' has been registered.;3;
data/assets/baked/mesh3d/Nature/Tree3.nxmesh3d;1;;ComboModelBased;6;;;;;17:43:37 [T] [Ecs] Type 'N4Core3Gui8LabelRowINS0_9BaseArrayINS_21GraphicsComponentData13ModifierParamENS_43_GraphicsModifiersArray_ArrayCellViewerFuncENS_37_GraphicsModifiersArray_ViewFetchFuncEEEEE' has been registered.;3;
data/assets/baked/mesh3d/Nature/DeadTree4.nxmesh3d;1;;N4Core3Gui8LabelRowINS0_11VecNumInputILm3EfEEEE;4;;;;;17:43:37 [T] [Ecs] Type 'N4Core3Gui8LabelRowINS0_11VecNumInputILm3EfEEEE' has been registered.;3;
StaticMeshBundle;3;;;;;;;;17:43:37 [T] [Ecs] Type 'Spacer' has been registered.;4;
RootDockWindowEWC;1;;;;;;;;17:43:37 [T] [Ecs] Type 'ListView' has been registered.;4;
uModel;5;;;;;;;;17:43:37 [T] [Ecs] Type 'BaseList' has been registered.;4;
uCameraPos;307;;;;;;;;17:43:37 [T] [Ecs] Type 'Label' has been registered.;4;
N4Core3Gui8LabelRowINS0_9BaseArrayI18aiPostProcessStepsNS_43_AssimpPostProcessArray_ArrayCellViewerFuncENS_37_AssimpPostProcessArray_ViewFetchFuncEEEEE;1;;;;;;;;17:43:37 [T] [Ecs] Type 'TextInput' has been registered.;4;
N4Core3Gui8NumInputIfEE;1;;;;;;;;17:43:37 [T] [Ecs] Type 'BaseInput' has been registered.;4;
N4Core3Gui11VecNumInputILm2EfEE;1;;;;;;;;17:43:37 [T] [Ecs] Type 'ComboView' has been registered.;4;
